Date,Day,Time,Activity,Location,Category,Notes
9/6/2026,Sunday,6:20 PM,"eSIM check, after the driver is found",Incheon International Airport Terminal 2,Admin,"Ends 6:30 PM.
This should be a ten-minute check, not a task, and it now happens after contact with the driver rather than before. Buy the eSIMs before you leave Seattle and activate every one of them on the gate wi-fi at Sea-Tac before boarding — Korean eSIM profiles switch on when they find the network, so five phones connect by themselves while you are still walking to immigration.
Fallback: One pocket wi-fi rental at the airport covers the whole group if a phone refuses. Sort the rest at the hotel, not in the arrivals hall.
Watch out: Activate eSIMs before boarding. Doing five phones at arrivals can burn 45 minutes and risk the driver cutoff.
Verify: Confirm every phone is carrier-unlocked and eSIM-capable before you leave Seattle.
Watch out: Finish app sign-ups that text codes before switching to a Korean eSIM. Data-only eSIMs can block US SMS.
Where: ICN arrivals hall"
9/6/2026,Sunday,6:30 PM,"Cash and T-money, one adult only",,Admin,"Ends 6:40 PM.
Airport bank ATMs take US cards and give a better rate than any exchange counter in Myeongdong. Draw enough for the whole group's incidentals in one go — Mangwon Market, the Insadong street stalls and most of the small food you will actually want are cash, and you do not want to be solving this mid-trip. Buy T-money cards at the same time from any convenience store.
Fallback: Skip it entirely if the driver is waiting. The hotel exchanges, every convenience store sells T-money, and there is an ATM in the Park Hyatt lobby. Nothing about this task is worth losing the transfer over.
Watch out: Do cash and T-money while the van loads. If the two-hour clock is close, skip it and do it at the hotel.
Watch out: Install Uber before you fly. Your existing account, number, and card work in Korea with no new sign-up.
Verify: Install Kakao T at home if you want the option, but don't arrive dependent on foreign-number verification.
Fallback: Treat k.ride as third choice. Recent reviews flag refused US, Canadian, and Australian cards."
9/6/2026,Sunday,6:45 PM,Private transfer to Park Hyatt Seoul,Park Hyatt Seoul,Commute,"Ends 8:00 PM.
From your sheet: transportation company is Seoul Private Driver. Already paid via credit card (175,000 won).
Incheon to Samseong is the long way across the city. Nine people plus luggage is two vehicles or one large van — book it before you fly with car seats specified. Contact was made at 18:10, so this departure time is yours to push by ten or fifteen minutes without penalty.
Watch out: Confirm your transfer operator supplies three infant and toddler seats. Korean law requires restraints under age 6.
Verify: Confirm whether the two-hour wait starts at scheduled landing or arrivals-hall exit.
Verify: Confirm the quoted drive time for a Sunday evening arrival.
Where: Park Hyatt Seoul, 606 Teheran-ro, Gangnam-gu"
9/6/2026,Sunday,8:00 PM,"Check in, cribs, unpack the essentials",,Lodging,"Ends 8:30 PM.
From your sheet: see the lodging tab for details.
Confirm cribs are already in the rooms. Ask about the Globalist breakfast arrangement for the whole party while you are at the desk.
Watch out: Request cribs and a bottle warmer at booking, not at check-in."
9/6/2026,Sunday,8:30 PM,"Simple dinner, in or beside the hotel",,Dining,"Ends 9:15 PM.
Room service or the convenience store. Do not book a restaurant with a start time tonight — this is the meal that gets pushed by every minute the airport takes.
Fallback: Convenience-store dinner is a completely respectable answer on arrival night.
Watch out: Take the first bowel-prep dose between 18:00 and 21:00, even if the flight ran late."
9/6/2026,Sunday,9:30 PM,Everyone down,,Rest,Sixteen hours of time difference. Expect a 03:00 wake-up across the board and do not fight it — this is why tomorrow is built the way it is.
9/6/2026,Sunday,,Nap window — All three,,Rest,"Timing: whenever.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/7/2026,Monday,4:00 AM,Second dose of bowel prep (Jun · sister · brother-in-law),,Medical,"Ends 4:20 AM.
BOOKED — confirmed, do not move.
The clinic's instruction is explicit and not flexible: second tablet dose at 04:00. This falls about eleven hours after landing, on the worst jet-lag night of the trip, and it is the single most missable item in the whole plan. It is also the one that cannot be recovered — miss it and the colonoscopy is cancelled on the spot.
Fallback: There is no fallback. If the dose is missed, call 02-2222-4888 before leaving for the clinic rather than turning up and finding out there.
Watch out: Set two alarms on two phones before anyone sleeps.
Note: Stay near a bathroom from 04:00 until you leave. Don't count on sleeping before the 07:30 taxi."
9/7/2026,Monday,6:30 AM,Fasted — no breakfast for the three (Jun · sister · brother-in-law),Park Hyatt Seoul,Medical,"Kwangdong's own preparation guidance says a light, low-fat dinner the night before and, where instructed, nothing after 21:00 — which means the fast starts on the evening of your arrival day. No breakfast, and water, coffee, milk, gum and sweets may all be restricted depending on which tests you booked.
Watch out: Tell Park Hyatt to expect a medical package 7 to 10 days before the exam, and confirm the clinic fixed the hotel name.
Note: Registration starts first-come, first-served at 08:00. Arrivals are accepted until 11:00 for an afternoon slot.
Verify: Do not stop prescriptions on your own. Declare anticoagulants and antiplatelets before endoscopy or biopsy.
Source: https://check.spgreserve.com/kwangdong-hospital/"
9/7/2026,Monday,7:30 AM,Travel to the clinic (Jun · sister · brother-in-law),Kwangdong Hospital,Commute,"Ends 7:50 AM.
Kwangdong Hospital is a five-minute taxi from the Park Hyatt, or a fifteen-minute walk past COEX. One minute from Bongeunsa Station Exit 5, on Line 9. Valet parking if a car drops you.
Watch out: Bring passports for every sedated patient. No passport means no sedated endoscopy.
Source: https://english.visitkorea.or.kr/svc/contents/MedicalKorea/contentsMedicalKoreaView.do?menuSn=923&dataSetId=116&vcontsId=232240
Where: Kwangdong Hospital · 612 Bongeunsa-ro, Gangnam-gu, Seoul (Samseong-dong)"
9/7/2026,Monday,8:00 AM,Precision specialised checkup · KD Program (Jun · sister · brother-in-law),Kwangdong Hospital,Excursion,"Ends 12:30 PM.
From your sheet: Jun, Jordan, and Narhee. First-come, first-serve, doors open at 8 AM.
BOOKED — confirmed, do not move.
Kwangdong's published run times are roughly three hours for a Standard programme and three to four for a Premium one. The KD Program adds brain MRI, brain MRA, cervical and lumbar spine MRI, pancreas and liver MRI, NK-cell activity, an echocardiogram, and a cancer gene panel, so it sits at or beyond the top of that range. Block until at least 12:30 and be relaxed about 14:00.
Cost: Kwangdong's own tiers run $400–$850 for Standard and $1,000–$3,900 for Premium, per person
Watch out: Confirm the 08:00 arrival in writing. Published weekday hours are 09:00 to 17:30.
Watch out: After sedated endoscopy, they can't eat for 1 to 2 hours or get home alone. Someone collects them.
Verify: Confirm all three can run concurrently. One MRI queue for three people changes the whole day.
Note: Full results come later. Kwangdong quotes about 10 days; reviewers report 2 to 3 weeks.
Source: https://creatrip.com/en/spot/15390
Where: Kwangdong Global Checkup Center"
9/7/2026,Monday,8:30 AM,Nap window — 5mo,,Rest,"Ends 9:30 AM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/7/2026,Monday,9:00 AM,Park Hyatt breakfast (Wife · parents · three kids),Park Hyatt Seoul,Dining,"Ends 10:15 AM.
Included on the Globalist benefit. Take it slowly — this is the calmest, warmest room the group will have all day, and it does most of the work of today's plan. Nine o'clock, not eight: the three at the clinic left before dawn, and there is no reason for anyone else to be up early on day two of jet lag.
Verify: Confirm how many people Globalist breakfast covers. Additional guests are usually charged.
Verify: Ask the kitchen about food for a seven-month-old on solids. CU and GS25 also sell Korean baby food pouches."
9/7/2026,Monday,9:30 AM,Nap window — 7mo,,Rest,"Ends 11:00 AM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/7/2026,Monday,10:30 AM,COEX Mall and Starfield Library (Wife · parents · three kids),COEX Mall,Excursion,"Ends 12:00 PM.
Underground, flat, climate-controlled, lifts everywhere, and a short walk from the hotel. On day two of jet lag with three small children, indoor and close beats interesting. It also happens to be next door to the hospital, so the two halves of the group are never far apart.
Fallback: If it is too much, the hotel lobby and a stroller lap of the block is a completely valid morning.
Source: https://english.visitseoul.net/shopping/Starfield-COEX-Mall_/ENP027622
Where: COEX, Samseong — walking distance from Park Hyatt"
9/7/2026,Monday,12:30 PM,Back at the hotel · nap block (Wife · parents · three kids),,Rest,"Ends 3:00 PM.
All three children down, two adults off duty. Do not schedule over this window on any day of this trip."
9/7/2026,Monday,12:30 PM,Collect the three from the clinic (One adult goes),,Commute,"Ends 1:30 PM.
Somebody meets them at the exit with a car. Three people who have been fasted since last night, possibly sedated, do not hail their own taxi.
Fallback: Slides with the checkup. Keep the afternoon soft and do not book anything against it.
Watch out: Have congee or juk ready. After a scope, start with bland food, not a nine-person restaurant meal."
9/7/2026,Monday,1:00 PM,Nap window — Toddler,,Rest,"Ends 3:00 PM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/7/2026,Monday,3:00 PM,Late lunch when the clinic three get back,,Dining,"Ends 4:30 PM.
First real food in roughly twenty hours for three of you. Somewhere close, somewhere quiet, and no stairs.
Fallback: May slide to 16:00. This meal moves; it does not get cancelled.
Watch out: Plan lunch loosely. Post-sedation discharge can run later than the test schedule."
9/7/2026,Monday,5:00 PM,Nothing. Deliberately.,,Rest,"Ends 7:00 PM.
Day two of a sixteen-hour shift with two infants and two people in their seventies. An empty evening now buys you the rest of the week.
Note: Leave the evening empty for recovery."
9/7/2026,Monday,7:00 PM,Early dinner near the hotel,,Dining,"Ends 8:00 PM.
Somewhere that seats nine with chairs rather than floor seating. This is a constraint you will hit repeatedly and it is worth checking every time.
Watch out: Ask for chairs when you book. Floor seating is tough for two people in their seventies."
9/8/2026,Tuesday,9:00 AM,Park Hyatt breakfast,Park Hyatt Seoul,Dining,"Ends 10:15 AM.
Included. Build the whole leg around it — a real breakfast at the hotel removes the hardest meal of the day from the plan five times over. Nine o'clock start, so nobody is dressing a baby in the dark."
9/8/2026,Tuesday,9:30 AM,Nap window — 7mo,,Rest,"Ends 11:00 AM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/8/2026,Tuesday,10:30 AM,Seongsu and Seoul Forest,Seoul Forest,Excursion,"Ends 12:30 PM.
Directly across the river from Gangnam and the easiest version of Seongsu you will get — arrive before the neighbourhood wakes up properly. Start in Seoul Forest, which is flat, wide, heavily shaded and genuinely stroller-and-grandparent-friendly, then walk into the converted-warehouse cafés and flagship stores on Yeonmujang-gil. Seongsu is a former shoe-factory district turned design quarter, so the streets are wide and the pavements are real, which is not true of Ikseon-dong or Bukchon.
Fallback: Seoul Forest alone is a complete morning. If the group is flagging, skip the café streets entirely and sit under the trees.
Watch out: Arrive at 10:30 for Seoul Forest first. Seongsu cafés mostly open at 11:00 and queue by noon.
Note: Use Seoul Forest for your parents: flat paved loops, shade, and plenty of benches.
Verify: Confirm one café can take nine with strollers, or plan to split into two tables.
Where: Seoul Forest and Seongsu-dong, Seongdong-gu"
9/8/2026,Tuesday,11:30 AM,Nap window — 5mo,,Rest,"Ends 1:00 PM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/8/2026,Tuesday,12:45 PM,Lunch near the hotel,,Dining,"Ends 1:45 PM.
Back within range of the nap block. Chairs, not floor seating."
9/8/2026,Tuesday,1:00 PM,Nap window — Toddler,,Rest,"Ends 3:00 PM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/8/2026,Tuesday,1:45 PM,Nap block at the hotel,,Rest,Ends 3:15 PM.
9/8/2026,Tuesday,3:30 PM,Botox appointment · Gangnam (Whoever is having it),Gangnam Station,Medical,"Ends 4:45 PM.
Moved here off the moving day. Gangnam has the clinic density and the English support, and doing it on day three leaves a full ten days for the result to settle and for the same clinic to see anything unexpected before you fly. Injections themselves take five to fifteen minutes; the appointment is mostly consultation.
Book: Book in advance. Same-day slots exist but not for a specific doctor.
Cost: Korean-brand botox runs about ₩40,000–₩80,000 per area, imported Allergan about ₩140,000–₩220,000
Watch out: After Botox: no lying flat or touching the area for 4 hours. No alcohol, hot baths, sauna, or hard exercise for 24.
Watch out: Keep Botox separate from mole removal on the 17th at Rene Clinic in Incheon. Get aftercare instructions in writing.
Verify: Confirm the price, product used, and whether follow-up review is included.
Source: https://www.hairrisk.com/clinic-guide/botox-korea
Where: Gangnam Station or Apgujeong · clinic to be chosen"
9/8/2026,Tuesday,3:30 PM,Skincare run — Olive Young and a department store (Adults in shifts),Olive Young Gangnam Town,Excursion,"Ends 5:30 PM.
Split the group: some shop, some stay with the kids. Olive Young covers everyday Korean skincare; the department store food halls and children's floors cover the rest. Both are indoors, air-conditioned, and lift-served.
Fallback: Everything here is also available in Myeongdong later in the trip, so no pressure to finish it today.
Watch out: Bring passports. In-store tax-free refund desks need them.
Source: https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=148766
Where: Gangnam · Olive Young Gangnam Town, and Hyundai Department Store Trade Center or Starfield COEX"
9/8/2026,Tuesday,6:30 PM,"Dinner, early",,Dining,"Ends 7:45 PM.
Korean restaurants fill from around 19:00. Nine people with infants get a much better table at 18:30.
Watch out: Book ahead for nine. Walk-ins that size are hard almost everywhere in Seoul."
9/9/2026,Wednesday,8:15 AM,Unhurried breakfast at the hotel (Jun · wife · 7mo),Park Hyatt Seoul,Dining,"Ends 9:00 AM.
The one breakfast on the trip that can't start at nine — the 10:00 train sets the clock, and you want to be walking out at 09:15. It's still the calm version: the 10:00 departure was chosen precisely so this could be a real breakfast rather than a rushed one. Eat properly here; food on board is limited and stations are chaotic with a baby.
Note: Only the three of you are on the early clock. Everyone else staying at the hotel eats at 09:00."
9/9/2026,Wednesday,9:00 AM,Unhurried hotel breakfast (Parents · sister's family),Park Hyatt Seoul,Dining,"Ends 10:15 AM.
No agenda, no alarm. This is the recovery day for the six who are not on a train — nine o'clock or later, and nothing after it that can't be dropped."
9/9/2026,Wednesday,9:15 AM,To Suseo station (Jun · wife · 7mo),Suseo Station,Commute,"Ends 9:45 AM.
Suseo is the southern high-speed terminus and it is about five minutes by taxi from the Park Hyatt — which is the whole reason this trip sits in this leg rather than the Insadong one. From Insadong the same trip would mean Seoul Station and a slower KTX. Fifteen minutes on the platform is plenty.
Verify: Book SRT seats at etk.srail.kr, which takes foreign cards. Book ahead if you want the 10:00.
Source: https://www.rome2rio.com/s/Park-Hyatt-Seoul/Suseo-Station
Where: Suseo station (SRT)"
9/9/2026,Wednesday,10:00 AM,SRT to Daejeon (Jun · wife · 7mo),Daejeon Station,Commute,"Ends 10:55 AM.
About fifty-five minutes southbound. Carrier rather than stroller makes the station transfers much easier — luggage space on board is limited and first-come.
Cost: About ₩20,100 each way, standard class. Under-sixes ride free on a lap; buy a child ticket only if you want the guaranteed seat.
Verify: Confirm which Daejeon station with the uncle: Daejeon Station or Seo-Daejeon.
Source: https://www.rome2rio.com/Train/Suseo-SRT/Daejeon-Station
Where: Suseo → Daejeon"
9/9/2026,Wednesday,10:30 AM,Bongeunsa Temple (Parents · sister's family),Bongeunsa Temple,Excursion,"Ends 11:45 AM.
A working Buddhist temple directly across from COEX, ten minutes on foot. Quiet, green, and short enough to abandon at any point. Marked as an idea rather than a plan on purpose — today is the recovery day for the six not on a train, and doing nothing is a completely valid version of it.
Fallback: Turn around whenever the toddler is done, or skip it entirely and let the grandparents have the morning in the room. Starfield COEX is indoors, flat, and thirty seconds closer.
Watch out: Give your parents this one back if they’re tired. Don’t talk them into another outing.
Watch out: Temple grounds have steps and slopes. Scout the accessible route or stay on the lower level.
Where: Bongeunsa, Samseong-dong"
9/9/2026,Wednesday,11:15 AM,With wife's uncle (Jun · wife · 7mo),,Excursion,"Ends 3:30 PM.
The reason for the day. Lunch together, unhurried. Leave the afternoon open rather than stacking anything after it — four hours is a real visit, not a courtesy call.
Watch out: Agree on the return train time in advance so the goodbye isn’t rushed or missed."
9/9/2026,Wednesday,11:30 AM,Nap window — 5mo,,Rest,"Ends 1:00 PM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/9/2026,Wednesday,1:00 PM,Nap block (Two kids at the hotel),,Rest,Ends 3:00 PM.
9/9/2026,Wednesday,1:00 PM,Nap window — Toddler,,Rest,"Ends 3:00 PM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/9/2026,Wednesday,3:30 PM,"Department store, in shifts (Parents · sister's family)",Hyundai Department Store Trade Center,Excursion,"Ends 5:30 PM.
Indoor, air-conditioned, lifts, nursing rooms, and a food hall in the basement. Korean department stores are unusually good at the thing you actually need with small children.
Verify: Confirm the nursing-room floor and store hours.
Where: Hyundai Department Store Trade Center or Starfield COEX"
9/9/2026,Wednesday,4:20 PM,Train back to Suseo (Jun · wife · 7mo),,Commute,"Ends 5:15 PM.
Leave by 3:45 PM.
Back at the hotel around 18:00, which still lands comfortably before the group dinner. Late enough to be tiring, early enough that the baby is not wrecked for tomorrow.
Fallback: If the visit is going well, a later train is fine — but past about 17:30 out of Daejeon you will miss the 18:45 dinner, so tell the group rather than assuming."
9/9/2026,Wednesday,6:45 PM,Dinner together when the train gets in,,Dining,"Ends 8:00 PM.
Near the hotel. Nobody has energy to travel for this one."
9/9/2026,Wednesday,,Nap window — 7mo,,Rest,"Timing: on the train until roughly 11:00.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/10/2026,Thursday,9:00 AM,Park Hyatt breakfast,Park Hyatt Seoul,Dining,"Ends 10:00 AM.
Nine o'clock. Lotte World is a long day on its feet, and starting it rested matters more than starting it early — the park does not get meaningfully busier between opening and eleven on a Thursday."
9/10/2026,Thursday,9:30 AM,Nap window — 7mo,,Rest,"Ends 11:00 AM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/10/2026,Thursday,10:10 AM,To Jamsil,Lotte World Adventure,Commute,"Ends 10:40 AM.
Two taxis or the subway. Short either way.
Where: Lotte World, Jamsil"
9/10/2026,Thursday,10:45 AM,Lotte World Adventure — indoor half,Lotte World Adventure,Excursion,"Ends 12:30 PM.
Under two hours, not a full morning. The indoor Adventure section is climate-controlled and mostly flat with lifts, which matters more than the rides here. There is a dedicated small-children's zone; the grandparents can sit in it comfortably while the toddler goes round. Both infants nap in carriers through this.
Fallback: If the park is too much, Lotte World Aquarium in the same complex is dark, cool, quiet, and takes ninety minutes.
Watch out: Cap Lotte World at 90–100 minutes for the two-year-old. Leave before the meltdown.
Verify: Confirm opening hours, ticket options, stroller rental, and ride age or height limits.
Watch out: Infants can’t ride much. Treat this as a place to explore, not a ride checklist.
Verify: Confirm nursing-room and baby-change locations inside the park before you go.
Where: Lotte World Adventure, Jamsil"
9/10/2026,Thursday,11:30 AM,Nap window — 5mo,,Rest,"Ends 1:00 PM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/10/2026,Thursday,12:45 PM,Lunch in the complex,,Dining,"Ends 1:45 PM.
Lotte World Mall next door has far better food than the park itself and proper seating."
9/10/2026,Thursday,1:00 PM,Nap window — Toddler,,Rest,"Ends 3:00 PM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/10/2026,Thursday,1:50 PM,Whole group back to the hotel,,Commute,"Ends 2:20 PM.
Everyone returns together — this is not the optional half. Fifteen minutes back to Samseong puts the toddler down in a real bed at 14:20, on the biggest day of the leg.
Watch out: Take your parents back to the hotel here. Four hours out at ages 69 and 70 is a full day."
9/10/2026,Thursday,2:20 PM,Nap block at the hotel,,Rest,"Ends 4:20 PM.
Note: Protect this nap. The grandparents rest here too, and the rest of the day is optional for them."
9/10/2026,Thursday,4:35 PM,Seokchon Lake loop (Whoever wants it),,Excursion,"Ends 5:30 PM.
A flat paved loop around the lake beside the park, with benches the whole way. Good in late-afternoon light and easy to cut short. Genuinely optional — a second trip back out to Jamsil is a lot for one day.
Watch out: Skip Seokchon Lake if the day has already been long. It’s a nice-to-have."
9/10/2026,Thursday,6:15 PM,Dinner at Lotte World Mall or back in Samseong,,Dining,"Ends 7:30 PM.
Decide based on where the group actually is at 17:45, not now."
9/11/2026,Friday,9:00 AM,Last Park Hyatt breakfast,Nine Tree Premier Hotel Insadong,Dining,"Ends 10:00 AM.
The last included one — the Insadong leg has no breakfast benefit, so this is the final easy morning meal of the trip. Nine o'clock; checkout is not until 11:30 and there is nothing to be early for.
Where: Nine Tree Premier Insadong"
9/11/2026,Friday,9:30 AM,Nap window — 7mo,,Rest,"Ends 11:00 AM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/11/2026,Friday,10:15 AM,A slow last morning in Gangnam,,Rest,"Ends 11:15 AM.
Nothing booked. Pack properly and let the children run around the room. Moving days go better when the morning before them is empty.
Fallback: Starfield COEX is five minutes away and indoors if anyone needs to burn energy before a car ride."
9/11/2026,Friday,11:30 AM,Check out of Park Hyatt,,Lodging,"Ends 12:00 PM.
Bags down, late checkout requested the night before if you can get it."
9/11/2026,Friday,12:15 PM,Transfer to Insadong,Nine Tree Premier Hotel Insadong,Commute,"Ends 1:00 PM.
Across the river to Jongno. Two vehicles again — nine people and twelve days of luggage does not fit in one.
Verify: Confirm the exact hotel name and address. There is more than one Nine Tree in central Seoul.
Source: https://english.visitseoul.net/hotel/view/18185180
Where: Nine Tree Premier Insadong · 49 Insadong-gil, Jongno-gu"
9/11/2026,Friday,1:00 PM,"Check in, cribs, breathe",,Lodging,"Ends 1:45 PM.
Rooms may not be ready. Store bags, take the kids up when they are.
Watch out: Standard check-in is 15:00. Book one room from the night of the 10th if you need a guaranteed nap room."
9/11/2026,Friday,1:30 PM,"Nap block, wherever it can happen",,Rest,Ends 3:00 PM.
9/11/2026,Friday,1:30 PM,Nap window — Toddler,,Rest,"Ends 3:00 PM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/11/2026,Friday,3:30 PM,Insadong on foot — the actual loop (Whoever wants it),Ssamziegil,Excursion,"Ends 4:45 PM.
A real route rather than a vague direction. Out of the hotel onto Insadong-gil, north along the main street through the paper, ceramic, tea and brush shops, into Ssamziegil at the top — a four-storey spiral ramp rather than stairs, so the stroller goes all the way up and back down without a lift. Cut east through Nagwon-dong and you are at the mouth of Ikseon-dong. The whole loop is about 1.2 km, entirely flat, and never more than eight minutes from your own room.
Fallback: Every point on this loop is a short walk back to the room, so it can be twenty minutes or two hours and anyone can peel off at any time.
Watch out: Forecast is around 30°C. Walk the shaded east side, use Ssamziegil for breaks, and carry water for your parents.
Verify: Confirm whether Insadong-gil is car-free that day. Pedestrian hours vary by weekday.
Where: Insadong-gil → Ssamziegil → Nagwon-dong · from the hotel door"
9/11/2026,Friday,4:45 PM,Ikseon-dong alleys (Whoever wants it),Ikseon-dong Hanok Village,Excursion,"Ends 6:15 PM.
A dense grid of restored hanok converted into cafés and small shops, about ten minutes' walk from the hotel and directly at the end of the Insadong loop. Flat, shaded by the low rooflines, and photogenic without the hill climb Bukchon demands. Late afternoon is the right time — the shops are all open by now, and the lanes light up as the sun drops.
Fallback: Cheonggyecheon stream is five minutes south and is flat, shaded and noticeably cooler if the alleys are crowded.
Watch out: Ikseon-dong alleys are often under 2 m wide. Use a carrier, or leave the big stroller at the hotel.
Note: Ikseon-dong is a 10-minute walk from this hotel, so it fits a thin moving-day afternoon.
Source: https://english.visitseoul.net/attractions/Ikseon-dong-Hanok-Village_/2686
Where: Ikseon-dong, Jongno · about 700 m from the hotel"
